name,region,division,municipality,address,latitude,longitude,operator,website,phone,source,osm_id,osm_tag,verified
Palais De Justice,,,Ebolowa,,2.9195345,11.146321,,,,OpenStreetMap,node/11468892799,amenity=courthouse,False
Tribunal De Grande Instance De Mvila,,,Ebolowa,,2.9182941,11.1455445,,,,OpenStreetMap,node/11468892797,amenity=courthouse,False
Tribunal Coutumier,,,Messondo-Centre,Libanga Mogui - Somabouyê,3.6932361,10.4499235,Ministère de la Justice,,,OpenStreetMap,way/646924784,amenity=courthouse,False
Akali Court of Justice,,,,,5.985494,10.4361108,,,,OpenStreetMap,node/1068916067,amenity=courthouse,False
Christ Nation Church,,,,,3.8253554,11.5458713,,,,OpenStreetMap,node/11263873838,amenity=courthouse,False
Cour Suprême du Cameroun,,,,,3.8601855,11.5173027,,https://www.coursupreme.cm/,,OpenStreetMap,way/192839536,amenity=courthouse,False
Cours d'Appel de l'Adamaoua,,,,,7.3169324,13.5774212,,,,OpenStreetMap,node/5918114751,amenity=courthouse,False
Cours d'appel du Sud,,,,,2.919417,11.1466245,,,,OpenStreetMap,node/11469838975,amenity=courthouse,False
Court of 1st instance Limbe,,,,,4.0127613,9.2052669,,,,OpenStreetMap,node/7072565589,amenity=courthouse,False
Court of Appeal,,,,,5.9495272,10.1674998,,,,OpenStreetMap,way/448100447,amenity=courthouse,False
Court of first instance of Limbe,,,,,4.0074831,9.2088005,,,,OpenStreetMap,way/449192139,amenity=courthouse,False
Etude maitre NGAINSSOM DENIS huissier de justice,,,,,10.5949952,14.3265957,,,,OpenStreetMap,way/416150835,amenity=courthouse,False
High Court,,,,,4.6303198,9.4344595,,,,OpenStreetMap,node/9459426924,amenity=courthouse,False
High Court Ndop,,,,,5.9903361,10.4392552,,,,OpenStreetMap,node/1069053730,amenity=courthouse,False
Huissier de Justice Commissaire Priseur Me MBOUA,,,,,3.5933042,11.3048522,,,,OpenStreetMap,way/345976084,amenity=courthouse,False
MISSIO Community Baptist Church,,,,,5.9900254,10.1796927,,,,OpenStreetMap,node/11252750137,amenity=courthouse,False
Magistrate Court,,,,,5.9919732,10.4363965,,,,OpenStreetMap,node/1069147012,amenity=courthouse,False
Palais De Justice,,,,,3.8432618,11.5333219,,,,OpenStreetMap,way/192879614,amenity=courthouse,False
Palais de JUSTICE,,,,,10.5990722,14.3171095,,,,OpenStreetMap,way/416155824,amenity=courthouse,False
Palais de Justice,,,,,3.5186375,11.5004601,,,,OpenStreetMap,node/7801589085,amenity=courthouse,False
Palais de Justice,,,,,6.4567658,12.6195432,,,,OpenStreetMap,way/311592376,amenity=courthouse,False
Palais de Justice,,,,,4.7562879,11.2332149,,,,OpenStreetMap,way/326549185,amenity=courthouse,False
Palais de Justice,,,,,3.6021956,11.3109085,,,,OpenStreetMap,way/345975153,amenity=courthouse,False
Palais de Justice,,,,,5.7310419,10.8955015,,,,OpenStreetMap,way/359274838,amenity=courthouse,False
Palais de Justice,,,,,11.0450668,14.1513365,,,,OpenStreetMap,way/398342685,amenity=courthouse,False
Palais de Justice,,,,,12.0854959,15.0296021,,,,OpenStreetMap,way/415038588,amenity=courthouse,False
Palais de Justice,,,,,5.4738718,10.420612,,,,OpenStreetMap,way/424738600,amenity=courthouse,False
Palais de Justice,,,,,5.4738423,10.4206098,,,,OpenStreetMap,way/424896942,amenity=courthouse,False
Palais de Justice,,,,,9.3091547,13.392345,,,,OpenStreetMap,relation/2928273,amenity=courthouse,False
Palais de Justice Prison Principales de YAOUNDÉ,,,,,3.8569486,11.5424172,,,,OpenStreetMap,way/192867565,amenity=courthouse,False
Palais de Justice de Batouri,,,,,4.426549,14.3646676,,,,OpenStreetMap,way/1337824060,amenity=courthouse,False
Palais de Justice de Monatélé,,,,,4.2652767,11.2010418,,,,OpenStreetMap,way/721908389,amenity=courthouse,False
Palais de justice de Foumbot,,,,,5.5063304,10.627312,,,,OpenStreetMap,way/312815115,amenity=courthouse,False
Parquets,,,,,3.5195668,11.5034919,,,,OpenStreetMap,node/7801589285,amenity=courthouse,False
Salle d'Audience de Justice,,,,,4.1777365,9.6562921,,,,OpenStreetMap,way/362979579,amenity=courthouse,False
Tribunal,,,,,4.3649128,11.4395237,,,,OpenStreetMap,way/282240391,amenity=courthouse,False
Tribunal Administratif,,,,,5.4709629,10.415068,,,,OpenStreetMap,way/424896957,amenity=courthouse,False
Tribunal Militaire,,,,,3.866945,11.5218189,,,,OpenStreetMap,node/4780953523,amenity=courthouse,False
Tribunal Militaire,,,,,4.03431,9.6869899,,,,OpenStreetMap,way/299540491,amenity=courthouse,False
Tribunal Militaire de Yaoundé,,,,,3.8506834,11.5046712,,,,OpenStreetMap,node/12453172804,amenity=courthouse,False
Tribunal administratif,,,,,7.316359,13.5778228,,,,OpenStreetMap,node/5918118916,amenity=courthouse,False
Tribunal de Grande Instance du Moungo,,,,,4.9567392,9.934992,,,,OpenStreetMap,way/625853333,amenity=courthouse,False
Tribunal de Ngaoundéré,,,,,7.3166949,13.5779824,,,,OpenStreetMap,node/5918113233,amenity=courthouse,False
Tribunal de Première Instance,,,,,4.0392577,9.6829511,,,,OpenStreetMap,way/299537757,amenity=courthouse,False
Tribunal de Première Instance Douala-Bonabéri,,,,,4.070556,9.6834582,,,,OpenStreetMap,node/2608217368,amenity=courthouse,False
Tribunal de Première Instance Ndokoti,,,,,4.0458862,9.7441978,,,,OpenStreetMap,node/4510856630,amenity=courthouse,False
Tribunal de Première Instance de Nkongsamba,,,,,4.9563591,9.9356259,,,,OpenStreetMap,relation/8703223,amenity=courthouse,False
Tribunal de Première et Grande Instance d'Akonolinga,,,,,3.7720592,12.2438581,,,,OpenStreetMap,way/580998742,amenity=courthouse,False
Tribunal de Yokadouma,,,,,3.5251601,15.0510265,,,,OpenStreetMap,way/309285042,amenity=courthouse,False
Tribunal militaire,,,,,4.5785633,13.6980315,,,,OpenStreetMap,way/374598231,amenity=courthouse,False
Tribunal militaire de Maroua,,,,,10.5901958,14.3043376,,,,OpenStreetMap,way/416118872,amenity=courthouse,False
Unnamed courthouse,,,,,3.8315661,11.47005,,,,OpenStreetMap,node/10208356317,amenity=courthouse,False
Unnamed courthouse,,,,,4.1564778,9.2337394,,,,OpenStreetMap,way/342145372,amenity=courthouse,False
Unnamed courthouse,,,,,4.1569229,9.2338216,,,,OpenStreetMap,way/342145396,amenity=courthouse,False
Unnamed courthouse,,,,,4.1567922,9.2337157,,,,OpenStreetMap,way/342145397,amenity=courthouse,False
Unnamed courthouse,,,,,4.1568214,9.233882,,,,OpenStreetMap,way/342145419,amenity=courthouse,False
Unnamed courthouse,,,,,4.1569584,9.2336016,,,,OpenStreetMap,way/342145438,amenity=courthouse,False
Youth Centre Hall,,,,,6.20996,10.6669872,,,,OpenStreetMap,way/366479415,amenity=courthouse,False
palais de Justice,,,,,3.773482,12.2427875,,,,OpenStreetMap,way/1414252034,amenity=courthouse,False
